flight_id,airline,source,destination,route,departure_time,arrival_time,duration_minutes
SJ049,SPICEJET,CCU,DEL,CCU → DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0
6F086,INDIGO,MAA,HYD,MAA → HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0
AI220,AIR INDIA,BOM,DEL,BOM → DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0
AI188,AIR INDIA,CCU,HYD,CCU → HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0
6F114,INDIGO,BOM,MAA,BOM → MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0
SJ179,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0
6F190,INDIGO,DEL,MAA,DEL → MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0
SJ003,SPICEJET,MAA,CCU,MAA → CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0
6F028,INDIGO,HYD,CCU,HYD → CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0
UK036,VISTARA,CCU,BLR,CCU → BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0
SJ160,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0
6F151,INDIGO,CCU,HYD,CCU → HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0
UK140,VISTARA,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0
AI115,AIR INDIA,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0
AI132,AIR INDIA,BLR,BOM,BLR → BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0
UK209,UNKNOWN,MAA,BLR,MAA → BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0
SJ043,UNKNOWN,MAA,DEL,MAA → DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0
UK176,VISTARA,HYD,BLR,HYD → BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0
UK216,VISTARA,MAA,HYD,MAA → HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0
UK150,VISTARA,DEL,CCU,DEL → CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0
UK145,VISTARA,BOM,HYD,BOM → HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0
6F270,UNKNOWN,HYD,MAA,HYD → MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0
6F012,INDIGO,CCU,HYD,CCU → HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0
SJ236,SPICEJET,MAA,BOM,MAA → BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0
6F149,INDIGO,BLR,CCU,BLR → CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0
UK004,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0
UK010,VISTARA,MAA,HYD,MAA → HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0
UK215,VISTARA,BOM,DEL,BOM → DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0
SJ116,SPICEJET,HYD,CCU,HYD → CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0
SJ023,SPICEJET,HYD,MAA,HYD → MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0
UK152,VISTARA,BOM,CCU,BOM → CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0
SJ202,SPICEJET,CCU,HYD,CCU → HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0
6F043,INDIGO,BOM,HYD,BOM → HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0
UK173,VISTARA,MAA,BLR,MAA → BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0
SJ081,SPICEJET,BOM,BLR,BOM → BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0
UK153,VISTARA,CCU,HYD,CCU → HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0
UK187,VISTARA,BLR,BOM,BLR → BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0
UK055,VISTARA,HYD,DEL,HYD → DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0
UK181,VISTARA,MAA,DEL,MAA → DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0
UK074,VISTARA,BOM,DEL,BOM → DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0
SJ068,SPICEJET,BLR,BOM,BLR → BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0
AI242,UNKNOWN,BLR,CCU,BLR → CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0
SJ237,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0
6F194,INDIGO,BOM,CCU,BOM → CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0
UK063,VISTARA,DEL,BOM,DEL → BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0
UK068,VISTARA,BLR,MAA,BLR → MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0
UK224,UNKNOWN,CCU,MAA,CCU → MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0
UK077,UNKNOWN,HYD,BOM,HYD → BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0
UK207,VISTARA,MAA,CCU,MAA → CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0
AI221,AIR INDIA,MAA,HYD,MAA → HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0
UK109,VISTARA,BLR,BOM,BLR → BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.00496666666666
UK089,VISTARA,BOM,HYD,BOM → HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0
AI072,AIR INDIA,BLR,CCU,BLR → CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0
UK131,VISTARA,BOM,DEL,BOM → DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0
SJ150,SPICEJET,BOM,HYD,BOM → HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0
6F097,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0
6F123,INDIGO,DEL,HYD,DEL → HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0
6F017,INDIGO,CCU,BOM,CCU → BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0
6F245,INDIGO,CCU,BOM,CCU → BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0
6F180,INDIGO,MAA,BLR,MAA → BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0
6F152,INDIGO,CCU,DEL,CCU → DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0
SJ034,SPICEJET,MAA,BOM,MAA → BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0
SJ142,SPICEJET,CCU,BOM,CCU → BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0
UK189,VISTARA,BLR,MAA,BLR → MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0
SJ044,SPICEJET,DEL,CCU,DEL → CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0
SJ196,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0
6F188,INDIGO,DEL,HYD,DEL → HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0
6F181,INDIGO,BOM,MAA,BOM → MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0
6F077,INDIGO,CCU,DEL,CCU → DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0
SJ154,SPICEJET,BLR,HYD,BLR → HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0
AI025,AIR INDIA,HYD,DEL,HYD → DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0
AI094,AIR INDIA,DEL,BLR,DEL → BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.00496666666666
6F191,INDIGO,BLR,DEL,BLR → DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0
SJ085,SPICEJET,BLR,MAA,BLR → MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0
6F261,UNKNOWN,CCU,DEL,CCU → DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0
6F129,INDIGO,DEL,CCU,DEL → CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0
6F254,UNKNOWN,MAA,BLR,MAA → BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0
SJ185,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0
6F030,INDIGO,BOM,DEL,BOM → DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0
SJ222,SPICEJET,BOM,DEL,BOM → DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0
6F259,UNKNOWN,BOM,DEL,BOM → DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0
UK083,VISTARA,DEL,HYD,DEL → HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0
6F051,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0
SJ088,SPICEJET,CCU,MAA,CCU → MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0
6F146,INDIGO,HYD,MAA,HYD → MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0
6F047,INDIGO,MAA,DEL,MAA → DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0
AI077,AIR INDIA,CCU,HYD,CCU → HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0
UK134,VISTARA,HYD,CCU,HYD → CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0
AI056,AIR INDIA,DEL,MAA,DEL → MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0
UK141,UNKNOWN,HYD,MAA,HYD → MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0
AI030,AIR INDIA,CCU,HYD,CCU → HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0
AI029,AIR INDIA,MAA,DEL,MAA → DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0
SJ167,SPICEJET,MAA,CCU,MAA → CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0
UK017,VISTARA,BLR,HYD,BLR → HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0
6F229,INDIGO,MAA,DEL,MAA → DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0
SJ117,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0
6F184,INDIGO,MAA,BOM,MAA → BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0
AI031,AIR INDIA,DEL,MAA,DEL → MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0
AI178,AIR INDIA,CCU,BLR,CCU → BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0
SJ089,SPICEJET,HYD,CCU,HYD → CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0
UK166,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0
UK104,VISTARA,DEL,BOM,DEL → BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0
6F168,INDIGO,HYD,DEL,HYD → DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0
AI222,UNKNOWN,BOM,DEL,BOM → DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0
SJ025,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0
6F255,UNKNOWN,DEL,BOM,DEL → BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0
UK228,VISTARA,DEL,MAA,DEL → MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0
6F158,INDIGO,CCU,MAA,CCU → MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0
SJ218,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0
6F034,INDIGO,BOM,DEL,BOM → DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0
UK156,VISTARA,MAA,BLR,MAA → BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0
6F105,INDIGO,BLR,BOM,BLR → BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0
6F073,INDIGO,DEL,CCU,DEL → CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0
SJ074,SPICEJET,DEL,CCU,DEL → CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0
6F234,INDIGO,BOM,DEL,BOM → DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0
6F068,INDIGO,BLR,HYD,BLR → HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0
6F074,INDIGO,HYD,BOM,HYD → BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0
AI038,AIR INDIA,HYD,MAA,HYD → MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0
AI079,AIR INDIA,CCU,BLR,CCU → BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0
SJ018,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0
6F018,INDIGO,DEL,BLR,DEL → BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0
AI091,AIR INDIA,CCU,MAA,CCU → MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0
UK071,VISTARA,DEL,HYD,DEL → HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0
AI019,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0
UK212,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0
AI146,AIR INDIA,BLR,DEL,BLR → DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0
6F232,INDIGO,MAA,BLR,MAA → BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0
6F084,INDIGO,CCU,HYD,CCU → HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.00496666666666
AI129,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0
AI240,AIR INDIA,MAA,DEL,MAA → DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0
6F091,INDIGO,BLR,CCU,BLR → CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0
UK133,VISTARA,BOM,DEL,BOM → DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0
SJ007,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0
SJ141,SPICEJET,CCU,DEL,CCU → DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0
6F049,INDIGO,HYD,DEL,HYD → DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0
SJ235,SPICEJET,BOM,DEL,BOM → DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0
UK087,VISTARA,HYD,MAA,HYD → MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0
UK170,VISTARA,BOM,BLR,BOM → BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0
SJ078,SPICEJET,DEL,HYD,DEL → HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0
SJ075,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0
AI159,AIR INDIA,HYD,BLR,HYD → BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0
UK120,VISTARA,HYD,DEL,HYD → DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0
AI059,AIR INDIA,CCU,DEL,CCU → DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0
UK040,VISTARA,HYD,CCU,HYD → CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0
AI044,UNKNOWN,MAA,BLR,MAA → BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0
AI078,AIR INDIA,DEL,BOM,DEL → BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0
SJ226,SPICEJET,HYD,BOM,HYD → BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0
6F209,INDIGO,MAA,CCU,MAA → CCU,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0
UK193,VISTARA,HYD,DEL,HYD → DEL,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,35.0
6F092,INDIGO,MAA,BLR,MAA → BLR,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0
AI208,AIR INDIA,BLR,BOM,BLR → BOM,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,194.0
SJ227,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,261.0
6F238,INDIGO,BOM,DEL,BOM → DEL,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0
AI084,AIR INDIA,BOM,HYD,BOM → HYD,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,75.0
SJ228,SPICEJET,BOM,CCU,BOM → CCU,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,227.0
UK194,VISTARA,CCU,BOM,CCU → BOM,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,60.00495
6F126,INDIGO,CCU,MAA,CCU → MAA,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0
SJ052,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,97.0
AI233,AIR INDIA,BLR,BOM,BLR → BOM,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,108.0
AI213,AIR INDIA,HYD,CCU,HYD → CCU,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,71.0
UK076,VISTARA,MAA,CCU,MAA → CCU,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,263.0
SJ022,SPICEJET,DEL,BLR,DEL → BLR,2026-04-20 07:56:41.701,2026-04-20 11:07:41.701,191.0
SJ002,SPICEJET,DEL,BOM,DEL → BOM,2026-04-20 07:54:41.701,2026-04-20 12:40:41.701,286.0
AI163,AIR INDIA,HYD,MAA,HYD → MAA,2026-04-20 07:45:41.703,2026-04-20 08:46:41.703,61.0
UK229,UNKNOWN,HYD,DEL,HYD → DEL,2026-04-20 07:40:41.704,2026-04-20 11:57:41.704,257.0
UK185,VISTARA,DEL,MAA,DEL → MAA,2026-04-20 07:31:41.703,2026-04-20 08:48:41.703,77.0
6F029,INDIGO,BOM,BLR,BOM → BLR,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0
6F056,INDIGO,BOM,MAA,BOM → MAA,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0
AI062,AIR INDIA,MAA,DEL,MAA → DEL,2026-04-20 06:49:41.701,2026-04-20 07:25:41.701,36.0
UK034,VISTARA,DEL,BLR,DEL → BLR,2026-04-20 06:47:41.701,2026-04-20 10:11:41.701,204.0
UK079,VISTARA,DEL,BLR,DEL → BLR,2026-04-20 06:43:41.702,2026-04-20 10:34:41.702,231.0
AI135,AIR INDIA,BLR,BOM,BLR → BOM,2026-04-20 06:40:41.702,2026-04-20 09:21:41.702,161.0
SJ061,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 06:38:41.701,2026-04-20 09:35:41.701,177.0
AI047,UNKNOWN,CCU,MAA,CCU → MAA,2026-04-20 06:36:41.701,2026-04-20 07:23:41.701,47.0
UK210,VISTARA,DEL,CCU,DEL → CCU,2026-04-20 06:35:41.704,2026-04-20 07:30:41.704,55.0
AI088,UNKNOWN,MAA,DEL,MAA → DEL,2026-04-20 06:34:41.702,2026-04-20 10:10:41.702,216.0
UK177,VISTARA,DEL,HYD,DEL → HYD,2026-04-20 06:21:41.703,2026-04-20 10:50:41.703,269.0
AI128,UNKNOWN,BOM,CCU,BOM → CCU,2026-04-20 06:07:41.702,2026-04-20 10:03:41.702,236.0
AI158,AIR INDIA,CCU,DEL,CCU → DEL,2026-04-20 06:04:41.703,2026-04-20 09:01:41.703,177.0
UK206,VISTARA,MAA,BLR,MAA → BLR,2026-04-20 06:01:41.703,2026-04-20 10:34:41.703,273.0
SJ138,UNKNOWN,BLR,BOM,BLR → BOM,2026-04-20 05:55:41.702,2026-04-20 06:43:41.702,48.0
AI034,AIR INDIA,DEL,BOM,DEL → BOM,2026-04-20 05:48:41.701,2026-04-20 10:31:41.701,283.0
AI012,AIR INDIA,BOM,CCU,BOM → CCU,2026-04-20 05:44:41.701,2026-04-20 09:47:41.701,243.0
6F083,INDIGO,BLR,DEL,BLR → DEL,2026-04-20 05:24:41.702,2026-04-20 06:03:41.702,39.0
SJ083,SPICEJET,MAA,BLR,MAA → BLR,2026-04-20 05:13:41.702,2026-04-20 08:17:41.702,184.0
